Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time,cycle_idx
3.848136609578083,-0.0021557335495844,23.91297719702689,0.0,0.0,0.0,1
3.847910503992072,-0.0033392307491067,23.924528458759017,0.0,3.863,9.328000000000005,1
3.530917757062598,-1.9977209713094155,23.92499894897125,1.999,2.526,19.421,1
3.5150281116163544,-1.9998697979204123,23.93074572103812,1.999,2.51,28.75,1
3.502718202478123,-2.002598963060622,23.969588028523763,1.999,2.498,38.125,1
3.4925223394746645,-2.0006032244434837,23.987339360375604,1.999,2.487,47.468,1
3.483402957058091,-1.9999014892652816,24.061327553829766,1.999,2.478,56.781,1
3.475560993572334,-1.999719612816879,24.058996228688223,1.999,2.469,66.23400000000001,1
3.468537903532213,-2.001521358890657,24.06529037402837,1.999,2.46,75.562,1
3.4622151502972343,-2.001090993804978,24.11629595678624,1.999,2.454,84.953,1
3.4565431778185465,-2.000729076250722,24.08079407641277,1.999,2.448,94.281,1
3.451669626000448,-1.999774101543024,24.110652557834623,1.999,2.444,103.625,1
3.4469989807578822,-2.000903242903573,24.13753332498453,1.999,2.438,112.953,1
3.442965567862342,-1.999849151816249,24.16279275165977,1.999,2.434,122.281,1
3.439472660219751,-2.002028477268573,24.155994291112464,1.999,2.43,131.64,1
3.4357563655597354,-2.001001252528236,24.155713723490507,1.999,2.427,141.0,1
3.4327786133672293,-1.9984657781209472,24.215331970372603,1.999,2.424,150.328,1
3.430098404040085,-2.0015118154232114,24.31696451116232,1.999,2.422,159.671,1
3.4274962835243685,-2.0016709700551605,24.25913124903186,1.999,2.419,169.09300000000002,1
3.4251268627685847,-2.001238285904696,24.2893340581408,1.999,2.417,178.453,1
3.4230424188056494,-2.000709685310188,24.27105078018536,1.999,2.414,187.812,1
3.420986121946666,-1.9996339689195173,24.31487100469259,1.999,2.412,197.39,1
3.419292143125097,-1.9999871388552792,24.31892550663085,1.999,2.411,206.906,1
3.417457680044116,-1.999860287315946,24.33077256776394,1.999,2.41,216.39,1
3.416012753442552,-2.002474581856021,24.319535558854565,1.999,2.408,225.828,1
3.4146336208872627,-1.999885637502076,24.324733898655676,1.999,2.407,235.312,1
3.41289289164522,-2.000872017740636,24.3546412799162,1.999,2.406,244.812,1
3.411810036030515,-2.001074273138016,24.366220092045427,1.999,2.404,254.312,1
3.410493974968675,-1.999577780877932,24.40830053124593,1.999,2.403,263.75,1
3.4093310464018933,-2.001420437740752,24.43310131134649,1.999,2.402,273.218,1
3.4083318883959364,-2.0009297615749078,24.40325465262089,1.999,2.4,282.671,1
3.4071855229170978,-1.996778832237582,24.42121502656843,1.999,2.399,292.203,1
3.406083397741188,-1.99981763585176,24.451727169392225,1.999,2.398,301.734,1
3.405034435463535,-2.000284317172004,24.49129831971252,1.999,2.397,311.218,1
3.404100963537016,-2.000870408912295,24.46584511076278,1.999,2.396,320.687,1
3.403012731818783,-2.0038601695058262,24.438063464695443,1.999,2.395,330.125,1
3.402191054217856,-1.99979926276239,24.469243194893128,1.999,2.394,339.562,1
3.4012472697158844,-1.9991838471949337,24.497990654059908,1.999,2.393,349.031,1
3.4003177477379247,-1.9984343174046613,24.472517689898087,1.999,2.392,358.515,1
3.399321807702148,-2.0015227201973627,24.52690978984419,1.999,2.391,368.062,1
3.398245470622675,-2.00205358147618,24.514191699164744,1.999,2.39,377.515,1
