file_name,cycle_idx,recon_error
B0033.csv,1,0.015032850562406523
B0033.csv,2,0.047198409325649664
B0033.csv,3,0.005577631350295398
B0033.csv,8,0.015787627152612917
B0033.csv,9,0.009868358146647011
B0033.csv,10,0.007846329316195184
B0033.csv,11,0.00630326572507506
B0033.csv,12,0.0056409552374947335
B0033.csv,13,0.004403692001082771
B0033.csv,32,0.0043807588813427525
B0033.csv,139,0.02418401719702058
B0033.csv,142,0.007769395663726333
B0033.csv,145,0.016141923961680963
B0033.csv,146,0.017023118166285493
B0033.csv,147,0.011254865744285707
B0033.csv,148,0.007371043446076982
B0033.csv,156,0.007555157634260637
B0034.csv,1,0.0063311537821925164
B0034.csv,2,0.012436530365530041
B0034.csv,3,0.011126383414018863
B0034.csv,4,0.008539647078226676
B0034.csv,5,0.006761867459177249
B0034.csv,13,0.004627533896281169
B0034.csv,14,0.004722251247184361
B0034.csv,15,0.004963059512474048
B0034.csv,16,0.005012418525894085
B0034.csv,17,0.004382118209980216
B0034.csv,19,0.0045894361624003194
B0034.csv,114,0.004594342986553923
B0036.csv,1,0.0055157311161820625
